	Desc	Paliwo	Stan	Rok	Przebieg	Cena
0	BMW SERIA 5 Automat Salon PL FV23% 1WŁ Pakiet Serwisowy do 07.2021 Navi Bi-xenon	diesel	bezwypadkowy	2016.0	85000.0	94900.0
13	BMW X3	diesel	sprawny	2008.0	166500.0	39500.0
15	BMW BMW0GT*Xenon*Navi*Automat*GWARANCJA	diesel	sprawny	2014.0	82643.0	125000.0
36	BMW SERIA 1 , Klimatronic, Tempomat, Parktronic,ALU	diesel	bezwypadkowy	2006.0	169222.0	23500.0
37	BMW SERIA 3 , Automat, Navi, Klimatronic, Tempomat	diesel	bezwypadkowy	2005.0	254087.0	25000.0
38	BMW SERIA 3 , Navi, Klimatronic, Tempomat, Parktronic	benzyna	bezwypadkowy	2009.0	97428.0	35000.0
39	BMW SERIA 3 , 1. Właściciel, Automat, Xenon, Klimatronic, Tempomat,	benzyna	bezwypadkowy	2006.0	153340.0	26500.0
40	BMW SERIA 1 , Salon Polska, Automat, Navi, Klimatronic, Tempomat,	benzyna	bezwypadkowy	2015.0	67659.0	83000.0
41	BMW SERIA 1 , Xenon, Klimatronic, Parktronic, Podgrzewane siedzienia,ALU	diesel	bezwypadkowy	2007.0	171025.0	22000.0
42	BMW SERIA 1 , 1. Właściciel, Klima, Parktronic, Podgrzewane siedzienia,	benzyna	bezwypadkowy	2008.0	140791.0	25000.0
43	BMW SERIA 3 IV (E46) 1. Właściciel, VAT 23%, Navi, Klima, Podgrzewane siedzienia,	benzyna	bezwypadkowy	2001.0	217635.0	11000.0
44	BMW SERIA 5 , 1. Właściciel, Serwis ASO, 181 KM, Klimatronic, Tempomat,	diesel	bezwypadkowy	2011.0	194914.0	50000.0
45	BMW SERIA 3 , Salon Polska, Serwis ASO, Automat, Xenon, Bi-Xenon,	benzyna	bezwypadkowy	2008.0	86427.0	38000.0
46	BMW SERIA 1 , 1. Właściciel, Serwis ASO, Automat, VAT 23%, Skóra, Navi,	diesel	bezwypadkowy	2017.0	9.0	115000.0
47	BMW SERIA 1 , 1. Właściciel, Serwis ASO, Navi, Xenon, Bi-Xenon,	diesel	bezwypadkowy	2013.0	145345.0	40000.0
48	BMW X3 I (E83) , 1. Właściciel, Automat, Skóra, Navi, Klimatronic, Tempomat,	diesel	bezwypadkowy	2007.0	177386.0	34000.0
49	BMW SERIA 1 , Salon Polska, Serwis ASO, Xenon, Bi-Xenon, Klima,	benzyna	bezwypadkowy	2012.0	81210.0	45700.0
