	Desc	Paliwo	Stan	Rok	Przebieg	Cena
8	Fiat 500 rabat: 16% (8 650 zł)	benzyna	nowy	2018.0	1.0	44900.0
12	Fiat Talento rabat: 3% (3 239 zł)	diesel	nowy	2019.0	5.0	104742.0
24	Fiat Tipo rabat: 21% (15 110 zł)	benzyna	nowy	2018.0	1.0	57990.0
26	Fiat Doblo rabat: 5% (2 553 zł)	benzyna	nowy	2019.0	5.0	51045.0
29	Fiat 500 rabat: 15% (8 475 zł)	benzyna	nowy	2018.0	1.0	48025.0
33	Fiat 500 rabat: 16% (8 120 zł)	benzyna	nowy	2018.0	1.0	42630.0
35	Fiat 500L rabat: 17% (12 060 zł)	benzyna	nowy	2018.0	1700.0	59990.0
41	Fiat 500X I rabat: 10% (7 850 zł)	benzyna	nowy	2018.0	2.0	67900.0
43	Fiat Ducato III rabat: 10% (13 641 zł)	diesel	nowy	2019.0	5.0	122766.0
45	Fiat Fiorino III rabat: 12% (6 242 zł)	benzyna	nowy	2019.0	5.0	45774.0
46	Fiat 500X I rabat: 14% (10 450 zł)	benzyna	nowy	2018.0	1.0	64900.0
51	Fiat Ducato III rabat: 11% (12 915 zł) Wyprzedaż rocznika	diesel	nowy	2018.0	5.0	110085.0
52	Fiat Panda III rabat: 13% (6 593 zł)	benzyna	nowy	2018.0	1.0	44895.0
53	Fiat Talento rabat: 22% (31 393 zł) Wyprzedaż rocznika ASO!	diesel	nowy	2018.0	5.0	111302.0
54	Fiat Ducato III rabat: 10% (12 103 zł)	diesel	nowy	2019.0	5.0	107871.0
55	Fiat Ducato III rabat: 12% (13 514 zł)	diesel	nowy	2018.0	5.0	99093.0
56	Fiat Ducato III rabat: 12% (14 428 zł)	diesel	nowy	2018.0	5.0	109224.0
58	Fiat Ducato III rabat: 19% (22 374 zł)	diesel	nowy	2018.0	5.0	92865.0
59	Fiat Ducato III rabat: 8% (10 652 zł)	diesel	nowy	2019.0	5.0	119728.0
61	Fiat Talento rabat: 23% (28 259 zł) Wyprzedaż rocznika 2018 ASO	diesel	nowy	2018.0	5.0	93480.0
64	Fiat 500X I rabat: 11% (8 660 zł)	benzyna	nowy	2018.0	1.0	70990.0
71	Fiat Doblo II rabat: 17% (13 272 zł) Wyprzedaż rocznika ASO	diesel	nowy	2018.0	5.0	65067.0
73	Fiat Doblo II rabat: 12% (8 659 zł) Wyprzedaż rocznika ASO	diesel	nowy	2018.0	5.0	62730.0
76	Fiat Fiorino III rabat: 17% (14 120 zł) Wyprzedaż rocznika ASO	diesel	nowy	2018.0	5.0	67650.0
77	Fiat Ducato III rabat: 22% (36 654 zł) Międzynarodówka 10 Palet	diesel	nowy	2018.0	5.0	129396.0
78	Fiat Ducato III rabat: 11% (18 979 zł) Międzynarodówka 10 Palet	diesel	nowy	2018.0	5.0	152151.0
84	Fiat Ducato III rabat: 15% (18 690 zł) Wyprzedaż rocznika 2018 ASO!	diesel	nowy	2018.0	5.0	102090.0
86	Fiat Doblo II rabat: 17% (14 403 zł) Wyprzedaż rocznika ASO!	diesel	nowy	2018.0	5.0	71955.0
91	Fiat Doblo II rabat: 15% (15 411 zł) Wyprzedaż rocznika 2018!	diesel	nowy	2018.0	5.0	84256.0
92	Fiat Bravo II	benzyna	sprawny	2012.0	193000.0	22900.0
93	Fiat Ducato	diesel	sprawny	2007.0	305871.0	19837.0
97	Camper Fiat Ducato gotowy do sezonu wakacyjnego 	diesel	sprawny	1988.0	230000.0	11200.0
103	seicento benzyna 1,1, 2003 sprzedam lub zamiana na przyczepkę	benzyna	sprawny	2003.0	132225.0	2900.0
104	Fiat Doblo II	diesel	bezwypadkowy	2015.0	33058.0	47000.0
105	Fiat Grande Punto , GAZ	benzyna	bezwypadkowy	2007.0	143180.0	10000.0
107	Fiat Grande Punto , Salon Polska, Klima	benzyna	bezwypadkowy	2009.0	92534.0	18000.0
108	Fiat Grande Punto , Salon Polska, Klima	benzyna	bezwypadkowy	2010.0	134130.0	16200.0
109	Fiat Grande Punto , Salon Polska, Serwis ASO	benzyna	bezwypadkowy	2009.0	105704.0	12500.0
110	Fiat 500 , Salon Polska, GAZ, Klima	benzyna	bezwypadkowy	2010.0	98169.0	22000.0
111	Fiat 500 , Salon Polska, Serwis ASO, Klima	benzyna	bezwypadkowy	2013.0	76226.0	28000.0
112	Fiat 500 , Salon Polska, Serwis ASO, Klima	benzyna	bezwypadkowy	2013.0	35255.0	28000.0
113	Fiat Grande Punto , 1. Właściciel, GAZ, Klima	benzyna	bezwypadkowy	2009.0	109467.0	16000.0
114	Fiat Grande Punto , Salon Polska, GAZ, Klima	benzyna	bezwypadkowy	2008.0	130279.0	14500.0
115	Fiat Punto Punto Evo , Salon Polska, Klima ,Bezkolizyjny	benzyna	bezwypadkowy	2013.0	109541.0	23000.0
116	Fiat Grande Punto , Salon Polska, Serwis ASO, GAZ, Klima	benzyna	bezwypadkowy	2006.0	184655.0	12000.0
117	Fiat Bravo II , Salon Polska, Serwis ASO, Klima	diesel	bezwypadkowy	2007.0	257719.0	12000.0
118	Fiat Croma II , Salon Polska, Klimatronic, Tempomat, Parktronic	diesel	bezwypadkowy	2007.0	116640.0	12000.0
